NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,1663,gps,1697617243.049722,GN,GGA,082043.00,3446.46101,N,13530.72143,E,5,08,3.75,42.5,M,34.1,M,2.0,2836
GGA,1682,gps,1697617244.045657,GN,GGA,082044.00,3446.46079,N,13530.72189,E,5,08,3.75,42.9,M,34.1,M,2.0,2836
GGA,1701,gps,1697617245.04432,GN,GGA,082045.00,3446.46066,N,13530.72293,E,5,08,3.75,43.6,M,34.1,M,2.0,2836
GGA,1720,gps,1697617246.044774,GN,GGA,082046.00,3446.46071,N,13530.72374,E,5,08,3.75,44.0,M,34.1,M,2.0,2836
GGA,1739,gps,1697617247.040466,GN,GGA,082047.00,3446.46101,N,13530.72399,E,5,08,3.75,44.0,M,34.1,M,2.0,2836
GGA,1758,gps,1697617248.043439,GN,GGA,082048.00,3446.46144,N,13530.72398,E,5,08,3.75,43.8,M,34.1,M,2.0,2836
GGA,1777,gps,1697617249.052207,GN,GGA,082049.00,3446.46186,N,13530.72401,E,5,08,3.75,43.6,M,34.1,M,2.0,2836
GGA,1796,gps,1697617250.053238,GN,GGA,082050.00,3446.46206,N,13530.72453,E,5,08,3.75,43.8,M,34.1,M,2.0,2836
GGA,1815,gps,1697617251.042994,GN,GGA,082051.00,3446.46243,N,13530.72477,E,5,08,3.74,43.8,M,34.1,M,2.0,2836
GGA,1834,gps,1697617252.057717,GN,GGA,082052.00,3446.46258,N,13530.72553,E,5,08,3.74,44.2,M,34.1,M,2.0,2836
GGA,1853,gps,1697617253.05179,GN,GGA,082053.00,3446.46279,N,13530.72613,E,5,08,3.74,44.5,M,34.1,M,2.0,2836
GGA,1872,gps,1697617254.049295,GN,GGA,082054.00,3446.46306,N,13530.72660,E,5,08,3.74,44.8,M,34.1,M,2.0,2836
GGA,1891,gps,1697617255.052594,GN,GGA,082055.00,3446.46315,N,13530.72737,E,5,08,3.74,45.1,M,34.1,M,2.0,2836
GGA,1910,gps,1697617256.04628,GN,GGA,082056.00,3446.46325,N,13530.72806,E,5,08,3.74,45.3,M,34.1,M,2.0,2836
GGA,1929,gps,1697617257.047265,GN,GGA,082057.00,3446.46332,N,13530.72883,E,5,08,3.74,45.4,M,34.1,M,2.0,2836
GGA,1948,gps,1697617258.048887,GN,GGA,082058.00,3446.46348,N,13530.72946,E,5,08,3.74,45.6,M,34.1,M,2.0,2836
GGA,1967,gps,1697617259.053939,GN,GGA,082059.00,3446.46369,N,13530.72999,E,5,08,3.74,45.7,M,34.1,M,2.0,2836
GGA,1986,gps,1697617260.041345,GN,GGA,082100.00,3446.46390,N,13530.73052,E,5,08,3.74,45.8,M,34.1,M,2.0,2836
GGA,2005,gps,1697617261.047629,GN,GGA,082101.00,3446.46415,N,13530.73096,E,5,08,3.74,45.9,M,34.1,M,2.0,2836
GGA,2024,gps,1697617262.049212,GN,GGA,082102.00,3446.46443,N,13530.73137,E,5,08,3.74,46.0,M,34.1,M,2.0,2836
GGA,2043,gps,1697617263.043327,GN,GGA,082103.00,3446.46467,N,13530.73181,E,5,08,3.74,46.2,M,34.1,M,2.0,2836
GGA,2062,gps,1697617264.043341,GN,GGA,082104.00,3446.46492,N,13530.73230,E,5,08,3.74,46.4,M,34.1,M,2.0,2836
GGA,2081,gps,1697617265.044167,GN,GGA,082105.00,3446.46509,N,13530.73288,E,5,08,3.73,46.3,M,34.1,M,2.0,2836
GGA,2100,gps,1697617266.046097,GN,GGA,082106.00,3446.46537,N,13530.73332,E,5,08,3.73,46.5,M,34.1,M,2.0,2836
GGA,2119,gps,1697617267.043792,GN,GGA,082107.00,3446.46564,N,13530.73378,E,5,08,3.73,46.7,M,34.1,M,2.0,2836
GGA,2138,gps,1697617268.048107,GN,GGA,082108.00,3446.46585,N,13530.73427,E,5,08,3.73,46.5,M,34.1,M,2.0,2836
GGA,2157,gps,1697617269.046725,GN,GGA,082109.00,3446.46611,N,13530.73468,E,5,08,3.73,46.5,M,34.1,M,2.0,2836
GGA,2176,gps,1697617270.03873,GN,GGA,082110.00,3446.46635,N,13530.73513,E,5,08,3.73,46.6,M,34.1,M,2.0,2836
GGA,2195,gps,1697617271.047557,GN,GGA,082111.00,3446.46655,N,13530.73565,E,5,08,3.73,46.7,M,34.1,M,2.0,2836
GGA,2214,gps,1697617272.046153,GN,GGA,082112.00,3446.46679,N,13530.73610,E,5,08,3.73,46.8,M,34.1,M,2.0,2836
GGA,2233,gps,1697617273.048235,GN,GGA,082113.00,3446.46706,N,13530.73654,E,5,08,3.73,46.8,M,34.1,M,2.0,2836
GGA,2252,gps,1697617274.047401,GN,GGA,082114.00,3446.46730,N,13530.73702,E,5,08,3.73,46.8,M,34.1,M,2.0,2836
GGA,2271,gps,1697617275.041649,GN,GGA,082115.00,3446.46756,N,13530.73747,E,5,08,3.73,46.9,M,34.1,M,2.0,2836
GGA,2290,gps,1697617276.038378,GN,GGA,082116.00,3446.46784,N,13530.73785,E,5,08,3.73,47.0,M,34.1,M,2.0,2836
GGA,2309,gps,1697617277.038051,GN,GGA,082117.00,3446.46811,N,13530.73827,E,5,08,3.73,47.0,M,34.1,M,2.0,2836
GGA,2328,gps,1697617278.047381,GN,GGA,082118.00,3446.46836,N,13530.73869,E,5,08,3.73,47.0,M,34.1,M,2.0,2836
GGA,2347,gps,1697617279.049605,GN,GGA,082119.00,3446.46863,N,13530.73911,E,5,08,3.73,47.0,M,34.1,M,2.0,2836
GGA,2366,gps,1697617280.038088,GN,GGA,082120.00,3446.46887,N,13530.73954,E,5,08,3.72,47.0,M,34.1,M,2.0,2836
GGA,2385,gps,1697617281.046506,GN,GGA,082121.00,3446.46914,N,13530.73994,E,5,08,3.72,47.0,M,34.1,M,2.0,2836
GGA,2404,gps,1697617282.049771,GN,GGA,082122.00,3446.46944,N,13530.74029,E,5,08,3.72,47.1,M,34.1,M,2.0,2836
GGA,2424,gps,1697617283.043385,GN,GGA,082123.00,3446.46976,N,13530.74063,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2444,gps,1697617284.048473,GN,GGA,082124.00,3446.47005,N,13530.74102,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2464,gps,1697617285.049074,GN,GGA,082125.00,3446.47036,N,13530.74136,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2484,gps,1697617286.048142,GN,GGA,082126.00,3446.47063,N,13530.74175,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2505,gps,1697617287.045432,GN,GGA,082127.00,3446.47089,N,13530.74218,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2526,gps,1697617288.045982,GN,GGA,082128.00,3446.47116,N,13530.74260,E,5,08,3.72,47.1,M,34.1,M,2.0,2836
GGA,2547,gps,1697617289.049125,GN,GGA,082129.00,3446.47146,N,13530.74296,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2568,gps,1697617290.04842,GN,GGA,082130.00,3446.47173,N,13530.74337,E,5,08,3.72,47.1,M,34.1,M,2.0,2836
GGA,2589,gps,1697617291.046372,GN,GGA,082131.00,3446.47196,N,13530.74380,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2610,gps,1697617292.042618,GN,GGA,082132.00,3446.47222,N,13530.74419,E,5,08,3.72,47.2,M,34.1,M,2.0,2836
GGA,2653,gps,1697617294.048055,GN,GGA,082134.00,3446.47274,N,13530.74497,E,5,08,3.72,47.3,M,34.1,M,2.0,2836
GGA,2674,gps,1697617295.054167,GN,GGA,082135.00,3446.47302,N,13530.74537,E,5,08,3.71,47.3,M,34.1,M,2.0,2836
GGA,2716,gps,1697617297.045426,GN,GGA,082137.00,3446.47356,N,13530.74615,E,5,08,3.71,47.3,M,34.1,M,2.0,2836
GGA,2738,gps,1697617298.045114,GN,GGA,082138.00,3446.47384,N,13530.74654,E,5,08,3.71,47.2,M,34.1,M,2.0,2836
GGA,2780,gps,1697617300.050451,GN,GGA,082140.00,3446.47439,N,13530.74733,E,5,09,3.71,47.1,M,34.1,M,2.0,2836
GGA,2801,gps,1697617301.043214,GN,GGA,082141.00,3446.47467,N,13530.74771,E,5,09,3.71,47.1,M,34.1,M,2.0,2836
GGA,2823,gps,1697617302.047826,GN,GGA,082142.00,3446.47484,N,13530.74823,E,5,09,2.76,46.9,M,34.1,M,2.0,2836
GGA,2844,gps,1697617303.05515,GN,GGA,082143.00,3446.47504,N,13530.74872,E,5,09,2.76,46.8,M,34.1,M,2.0,2836
GGA,2887,gps,1697617305.05403,GN,GGA,082145.00,3446.47545,N,13530.74971,E,5,09,2.76,46.7,M,34.1,M,2.0,2836
GGA,2929,gps,1697617307.053556,GN,GGA,082147.00,3446.47589,N,13530.75068,E,5,09,2.76,46.6,M,34.1,M,2.0,2836
GGA,2951,gps,1697617308.049725,GN,GGA,082148.00,3446.47617,N,13530.75107,E,5,10,2.76,46.6,M,34.1,M,2.0,2836
GGA,2973,gps,1697617309.052631,GN,GGA,082149.00,3446.47642,N,13530.75150,E,5,10,2.76,46.5,M,34.1,M,2.0,2836
GGA,2995,gps,1697617310.051759,GN,GGA,082150.00,3446.47664,N,13530.75197,E,5,10,2.76,46.4,M,34.1,M,2.0,2836
GGA,3061,gps,1697617313.051709,GN,GGA,082153.00,3446.47743,N,13530.75317,E,5,10,2.44,46.1,M,34.1,M,2.0,2836
GGA,3082,gps,1697617314.048569,GN,GGA,082154.00,3446.47775,N,13530.75348,E,5,10,2.44,46.0,M,34.1,M,2.0,2836
GGA,3124,gps,1697617316.040742,GN,GGA,082156.00,3446.47839,N,13530.75411,E,5,09,3.01,46.0,M,34.1,M,2.0,2836
GGA,3187,gps,1697617319.04465,GN,GGA,082159.00,3446.47946,N,13530.75489,E,5,09,3.01,45.8,M,34.1,M,2.0,2836
GGA,3209,gps,1697617320.040534,GN,GGA,082200.00,3446.47981,N,13530.75514,E,5,09,3.01,45.6,M,34.1,M,2.0,2836
GGA,3230,gps,1697617321.047272,GN,GGA,082201.00,3446.48014,N,13530.75539,E,5,09,3.01,45.5,M,34.1,M,2.0,2836
GGA,3251,gps,1697617322.04197,GN,GGA,082202.00,3446.48049,N,13530.75570,E,5,09,3.00,45.7,M,34.1,M,2.0,2836
GGA,3272,gps,1697617323.048087,GN,GGA,082203.00,3446.48080,N,13530.75606,E,5,10,2.43,45.9,M,34.1,M,2.0,2836
GGA,3293,gps,1697617324.044679,GN,GGA,082204.00,3446.48110,N,13530.75644,E,5,10,2.43,46.0,M,34.1,M,2.0,2836
GGA,3314,gps,1697617325.052383,GN,GGA,082205.00,3446.48141,N,13530.75679,E,5,10,2.43,46.1,M,34.1,M,2.0,2836
GGA,3357,gps,1697617327.045391,GN,GGA,082207.00,3446.48195,N,13530.75745,E,5,10,2.43,45.8,M,34.1,M,2.0,2836
GGA,3378,gps,1697617328.0467,GN,GGA,082208.00,3446.48227,N,13530.75774,E,5,10,2.43,45.7,M,34.1,M,2.0,2836
GGA,3399,gps,1697617329.044666,GN,GGA,082209.00,3446.48249,N,13530.75817,E,5,10,2.43,45.7,M,34.1,M,2.0,2836
GGA,3420,gps,1697617330.042493,GN,GGA,082210.00,3446.48273,N,13530.75855,E,5,09,2.43,45.6,M,34.1,M,2.0,2836
GGA,3462,gps,1697617332.043255,GN,GGA,082212.00,3446.48312,N,13530.75951,E,5,09,3.00,45.2,M,34.1,M,2.0,2836
GGA,3483,gps,1697617333.050119,GN,GGA,082213.00,3446.48331,N,13530.75999,E,5,08,2.99,45.1,M,34.1,M,2.0,2836
GGA,3504,gps,1697617334.04585,GN,GGA,082214.00,3446.48357,N,13530.76040,E,5,09,2.99,45.1,M,34.1,M,2.0,2836
GGA,3525,gps,1697617335.050708,GN,GGA,082215.00,3446.48387,N,13530.76073,E,5,09,2.99,45.2,M,34.1,M,2.0,2836
GGA,3546,gps,1697617336.05145,GN,GGA,082216.00,3446.48435,N,13530.76083,E,5,10,2.43,45.8,M,34.1,M,2.0,2836
GGA,3566,gps,1697617337.043186,GN,GGA,082217.00,3446.48465,N,13530.76119,E,5,10,2.43,46.0,M,34.1,M,2.0,2836
