Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697617207.047721,34.77428333333334,135.5117795,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617208.044905,34.774286000000004,135.51178633333333,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617209.051809,34.77428866666666,135.51179283333335,90.5,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617210.043804,34.77429133333333,135.5117995,90.6,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617211.045556,34.77429466666667,135.51180616666667,90.7,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617212.044611,34.77429733333334,135.511814,90.80000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617213.047712,34.77430016666667,135.51182166666666,90.80000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617214.047823,34.7743035,135.5118295,90.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617215.042458,34.774307,135.511837,90.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617216.037503,34.774310166666666,135.51184433333333,90.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617217.050664,34.77431266666667,135.5118525,90.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617218.049674,34.77431166666667,135.51186183333334,89.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617219.047397,34.774312,135.51187033333332,88.1,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617220.051373,34.774312,135.511879,86.80000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617221.042293,34.774312,135.51188883333333,85.80000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617222.058334,34.774313,135.511898,84.80000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617223.048809,34.7743145,135.51190666666668,83.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617224.048015,34.77431633333333,135.51191533333332,83.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617225.039705,34.774318666666666,135.5119235,82.6,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617226.045787,34.7743205,135.51193283333333,82.0,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617227.049598,34.7743225,135.51194116666667,81.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617228.059519,34.77432433333333,135.51194983333335,80.7,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617229.04565,34.774326,135.511959,80.1,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617230.050071,34.77432833333334,135.5119675,79.5,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617231.045124,34.774330666666664,135.51197583333334,78.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617232.052108,34.774332666666666,135.51198466666668,78.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617233.045341,34.77433666666667,135.51199133333333,78.0,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617234.046097,34.77434083333333,135.511998,77.6,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617235.039228,34.7743455,135.512004,77.2,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617236.05103,34.774350166666665,135.51201016666667,77.0,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617237.042188,34.774354333333335,135.51201683333332,76.7,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617238.054795,34.7743585,135.51202333333333,76.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617239.04557,34.774361,135.512029,76.1,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9856 ,0.0 ,0.0], [0.0 ,9.9856 ,0.0], [0.0 ,0.0 ,39.9424]]"
fix,gps,1697617240.04843,34.77436183333333,135.512029,75.9,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9225 ,0.0 ,0.0], [0.0 ,9.9225 ,0.0], [0.0 ,0.0 ,39.69]]"
fix,gps,1697617241.044643,34.77436083333333,135.51202933333334,75.6,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9.9225 ,0.0 ,0.0], [0.0 ,9.9225 ,0.0], [0.0 ,0.0 ,39.69]]"
